year,sp500_nom,tbond_nom,infl_dec,infl_avg,sp500_real_dec,tbond_real_dec,sp500_real_avg,tbond_real_avg
1971,0.1422,0.09789999999999999,0.03266331658291466,0.042927666881305226,0.10607201946472,0.06317323600973235,0.09518621115455828,0.0527096316114426
1972,0.18760000000000002,0.0282,0.03406326034063256,0.032722782465528066,0.1484790588235294,-0.0056701176470588255,0.14996978876046207,-0.004379473893981856
1973,-0.1431,0.0366,0.08705882352941186,0.06177760063770421,-0.21172619047619057,-0.04641774891774908,-0.19295716966966958,-0.02371268768768764
1974,-0.259,0.0199,0.12337662337662336,0.11054804804804808,-0.34038150289017344,-0.09211213872832369,-0.33276187257055945,-0.08162460706439079
1975,0.37,0.0361,0.06936416184971095,0.09143146864965335,0.2811351351351352,-0.031106486486486395,0.25523227005264815,-0.050696237225146934
1976,0.23829999999999998,0.1598,0.048648648648648596,0.0574481263549087,0.18085309278350525,0.10599484536082482,0.17102670962073496,0.0967913896617365
1977,-0.0698,0.0129,0.0670103092783505,0.06501683994728347,-0.12821835748792265,-0.050712077294686075,-0.1265865805032309,-0.04893522617901824
1978,0.06509999999999999,-0.0078000000000000005,0.09017713365539448,0.07630963838856064,-0.023002806499261452,-0.08987267355982276,-0.010414882473173459,-0.07814632089933593
1979,0.1852,0.0067,0.13293943870014768,0.11254471129279509,0.04612829204693614,-0.11142646675358547,0.06530550005741187,-0.09513748995292237
1980,0.31739999999999996,-0.029900000000000003,0.1251629726205996,0.13549201974968406,0.1708526071842411,-0.13781378910776354,0.16020190110223487,-0.14565669936292835
1981,-0.047,0.08199999999999999,0.0892236384704519,0.10334715340277079,-0.12506489361702133,-0.006631914893616919,-0.13626459536247826,-0.019347630831271112
1982,0.20420000000000002,0.3281,0.038297872340425476,0.06131427000274958,0.15978278688524594,0.27911270491803286,0.13463093264248682,0.25137297927461133
1983,0.2234,0.032,0.037909836065573854,0.032124352331606376,0.1787151036525172,-0.005693978282329759,0.1853222891566264,-0.00012048192771096922
1984,0.061500000000000006,0.1373,0.03948667324777877,0.04300535475234257,0.021177113010446558,0.09409772079772094,0.017732071233756086,0.09040667415369819
1985,0.3124,0.2571,0.037986704653371284,0.035456441520937076,0.2643707227813359,0.2110945105215003,0.2674603656647039,0.21405396653238284
1986,0.18489999999999998,0.24280000000000002,0.010978956999085021,0.01898047722342744,0.17203230769230782,0.22930352941176468,0.1628289515699839,0.21965045236828074
1987,0.0581,-0.0496,0.044343891402715,0.03664563217516914,0.013172010398613487,-0.08995493934142118,0.020695951595159467,-0.08319683168316827
1988,0.1654,0.08220000000000001,0.04419410745233954,0.04077741107444077,0.11607601659751055,0.036397344398340525,0.11973990557395542,0.039799661757451865
1989,0.3148,0.1769,0.04647302904564321,0.04827003030089494,0.2564107850911974,0.1246348136399682,0.2542569776821726,0.12270690373756388
1990,-0.030600000000000002,0.062400000000000004,0.0610626486915149,0.053979564399032176,-0.0863875934230196,0.0012603886397606345,-0.08024782192741897,0.007989182983608512
1991,0.3023,0.15,0.03064275037369213,0.04234963964538552,0.2635804205946337,0.115808556925308,0.2493888331395706,0.1032766321972709
1992,0.07490000000000001,0.09359999999999999,0.029006526468455363,0.030288196781496746,0.04459978858350944,0.06277265680056376,0.04330031476422369,0.06145057607791893
1993,0.09970000000000001,0.1421,0.02748414376321362,0.02951656966385574,0.07028415637860053,0.11155000000000004,0.068171248918373,0.10935562734352455
1994,0.013300000000000001,-0.08039999999999999,0.02674897119341546,0.0260744159215458,-0.01309859719438855,-0.10435751503005997,-0.012449794793950364,-0.10376870748299305
1995,0.37200000000000005,0.2348,0.025384101536406245,0.028054196885365812,0.33803517915309444,0.2042316612377848,0.3345599912501367,0.20110399212512275
1996,0.2268,0.0143,0.03322475570032579,0.029312041999343785,0.1873505674653213,-0.01831620428751579,0.19186403145255548,-0.014584539368823757
1997,0.331,0.09939999999999999,0.017023959646910614,0.023376899373074078,0.3087203967761931,0.08099714817110959,0.300596095940193,0.07428651230401817
1998,0.2834,0.1492,0.016119032858028515,0.015522790987436252,0.26304100061012803,0.13096985967053087,0.2637825673534073,0.1316338837482749
1999,0.2089,-0.0825,0.02684563758389258,0.021880271969735743,0.17729477124183024,-0.10648692810457516,0.18301530341687933,-0.1021453049177048
2000,-0.09029999999999999,0.1666,0.03386809269162194,0.03376857271499323,-0.12010051724137927,0.1283837931034486,-0.12001581010452966,0.12849242160278762
2001,-0.1185,0.0557,0.01551724137931032,0.028261711188540595,-0.13196943972835318,0.03956876061120562,-0.14272797439759055,0.02668414909638539
2002,-0.21969999999999998,0.1512,0.02376910016977929,0.015860316265060126,-0.23781641791044772,0.12447230514096175,-0.2318825851285614,0.13322666666666683
2003,0.2836,0.0038,0.018794914317302513,0.022700949733611253,0.2599199131850243,-0.014718285404232367,0.255107859569649,-0.01848140430351064
2004,0.1074,0.0449,0.03255561584373301,0.026772366930917224,0.07248460325801354,0.011955176037834914,0.07852532427424341,0.01765496779317033
2005,0.0483,0.0287,0.03415659485023648,0.033927468454954646,0.013676270325203355,-0.0052763719512195495,0.013900908896948838,-0.005055933432899673
2006,0.1561,0.0196,0.025406504065040636,0.0322594410070407,0.12745530227948465,-0.005662636273538135,0.11997038154685624,-0.012263817122070031
2007,0.0548,0.10210000000000001,0.04081268582755193,0.028526724815013837,0.013438839056161944,0.05888409605972322,0.025544572203227478,0.07153268204889751
2008,-0.3655,0.201,0.0009141290064560437,0.03839100296650999,-0.36607948513042976,0.19990313374051039,-0.3889584961855993,0.15659707814199408
2009,0.2594,-0.1112,0.027213311262058282,-0.003555462662997444,0.2260355139407917,-0.13474641512579355,0.2638937269561894,-0.10802862909428201
2010,0.1482,0.08460000000000001,0.014957235273143077,0.016400434423899046,0.13127919098088792,0.06861645230610613,0.12967287410773864,0.06709911100614274
2011,0.021,0.1604,0.029624188448710953,0.031568415686220375,-0.008376054627955765,0.1270131500584919,-0.010244997351135599,0.12488903533177509
2012,0.1589,0.0297,0.01741022368747558,0.02069337265260618,0.1390685615480769,0.012079470037151596,0.13540464849714717,0.008824028438616294
2013,0.3215,-0.091,0.01501735619618394,0.014648326556271352,0.3019481804255755,-0.10444881119421245,0.30242170160097426,-0.10412309742316628
2014,0.1352,0.1075,0.007564932696557447,0.016222229774082164,0.12667676609372602,0.09918474141014921,0.11707849596280528,0.08982067854017517
2015,0.0138,0.0128,0.007295197860415881,0.0011862713555246263,0.006457691998731807,0.005464934362118257,0.012598783069006192,0.011599967934789346
2016,0.1177,0.0069,0.02074622132966919,0.0126158320570533,0.09498323544517695,-0.013564802925875696,0.10377496046993073,-0.0056446204731385174
2017,0.2161,0.027999999999999997,0.021090824745684245,0.021301100036596132,0.19098122373480853,0.006766464928363858,0.19073601306845123,0.006559182167887423
2018,-0.042300000000000004,-0.0002,0.019101588486313714,0.024425832969282135,-0.060250704326262894,-0.018939808066615438,-0.06513485976420408,-0.02403866846846736
2019,0.3121,0.0964,0.022851297401217163,0.018122100752601344,0.2827866605181848,0.0719055671001736,0.2887452291135697,0.07688458897958816
2020,0.1802,0.1133,0.013620054947193205,0.012335843963063864,0.16434160338459858,0.09834054147438875,0.1658186431291282,0.09973385476669927
2021,0.2847,-0.044199999999999996,0.07036402865545144,0.04697858863637405,0.2002458655246373,-0.10703277164439295,0.22705470192398458,-0.08708734794197526
2022,-0.1804,-0.1783,0.0645440133141082,0.08002799820521167,-0.23009289446995762,-0.22812021887013678,-0.24113078423706646,-0.23918639019960652
2023,0.2606,0.0388,0.033521228314302265,0.041163383837449,0.21971369863013712,0.005107560000782385,0.21076098100354468,-0.0022699452114213203
2024,0.2488,-0.016399999999999998,0.02888057219980067,0.02949525204852077,0.21374631200392868,-0.0440095511794808,0.21302162153259085,-0.04458034357827001
